stamp,face_id,fused_x,fused_y,fused_z,fused_qx,fused_qy,fused_qz,fused_qw,pred_x,pred_y,pred_z,pred_qx,pred_qy,pred_qz,pred_qw,pos_err,ang_err_deg,image_error,object_error,weight
1767066232.134233,10,-0.220331,-0.041737,0.575985,0.516260,0.669113,-0.269646,0.461578,-0.220288,-0.041761,0.575771,0.516510,0.669732,-0.269092,0.460723,0.000219,0.139577,0.000000,1.152652,0.867565
1767066232.167666,10,-0.220462,-0.041797,0.576065,0.516771,0.669414,-0.269099,0.460889,-0.220587,-0.041853,0.576143,0.517391,0.669778,-0.268435,0.460052,0.000158,0.147596,0.000000,1.086220,0.920623
1767066232.201109,10,-0.220451,-0.041862,0.575897,0.517273,0.669529,-0.268527,0.460492,-0.220440,-0.041924,0.575735,0.517882,0.669669,-0.267831,0.460009,0.000173,0.120636,0.000000,1.130157,0.884833
1767066232.234674,10,-0.220534,-0.041714,0.576245,0.517090,0.669162,-0.269817,0.460477,-0.220613,-0.041573,0.576577,0.516868,0.668714,-0.271381,0.460459,0.000370,0.188171,0.000000,1.281091,0.780585
1767066232.268044,10,-0.220399,-0.041729,0.575983,0.516860,0.669454,-0.269449,0.460526,-0.220270,-0.041745,0.575732,0.516580,0.669809,-0.269002,0.460586,0.000283,0.073174,0.000000,1.051610,0.950923
1767066232.301466,10,-0.220494,-0.041745,0.576297,0.516762,0.669275,-0.269540,0.460844,-0.220584,-0.041761,0.576597,0.516642,0.669058,-0.269650,0.461229,0.000314,0.054044,0.000000,1.065997,0.938089
1767066232.334848,10,-0.220213,-0.041683,0.576286,0.516143,0.669628,-0.270533,0.460442,-0.219945,-0.041624,0.576275,0.515389,0.670056,-0.271740,0.459953,0.000275,0.179316,0.000000,1.128828,0.885875
1767066232.368335,10,-0.220157,-0.041684,0.576416,0.515797,0.669465,-0.270648,0.460999,-0.220103,-0.041684,0.576540,0.515377,0.669265,-0.270788,0.461676,0.000136,0.095401,0.000000,1.179039,0.848148
1767066232.401837,10,-0.220109,-0.041668,0.576640,0.515256,0.669525,-0.271162,0.461214,-0.220063,-0.041654,0.576855,0.514598,0.669598,-0.271786,0.461475,0.000220,0.108415,0.000000,1.207581,0.828102
1767066232.435211,10,-0.219710,-0.041618,0.576320,0.513904,0.670153,-0.272493,0.461026,-0.219329,-0.041570,0.576014,0.512257,0.670913,-0.274110,0.460796,0.000492,0.279660,0.000000,1.069524,0.934995
